Product Name,Current Inventory Level,Lead Time (in days),Sales Velocity (in units per day),Highest Sales Month,Supplier,Unit Cost,Reorder Point,Safety Stock,Festivals,Supplier Lead Time (in days),Category,Last Restock Date,Next Restock Date
Sony Alpha a7 III Mirrorless Camera,10,15,1,July,ABC Electronics,1500,20,5,NewYearPeriod,7,Electronics,2023-04-15,2023-05-15
"
The North Face Women's Arctic Parka",75,7,3,January,Outdoor Gear Inc.,200,50,10,Republic Day,5,Apparel,2023-04-20,2023-05-20
"
Apple AirPods Pro",50,5,5,December,Tech Gadgets Ltd.,200,30,10,Holi_Day,3,Electronics,2023-04-18,2023-05-18
"
Bose QuietComfort Earbuds",50,5,5,January,Sound Solutions,250,40,15,GudiPadwa,7,Electronics,2023-04-15,2023-05-15
"
Brooks Ghost 13 Running Shoes",200,7,10,February,Performance Footwear,120,50,20,,5,Footwear,2023-04-20,2023-05-20
"
Canon EOS 5D Mark IV DSLR Camera",10,15,1,August,Photo World,2500,15,5,Independence Day,7,Electronics,2023-04-15,2023-05-15
"
Coleman 8-Person Camping Tent",20,10,2,June,Outdoor Adventures,300,10,5,,7,Outdoor,2023-04-15,2023-05-15
"
DJI Osmo Action Camera",10,15,1,July,Camera Drones Inc.,350,25,10,Dushhera,5,Electronics,2023-04-20,2023-05-20
"
Fjallraven Kanken Classic Backpack",200,10,7,August,Outdoor Gear Inc.,80,60,15,,7,Accessories,2023-04-15,2023-05-15
"
Garmin Forerunner 945 GPS Smartwatch",50,5,5,June,Fitness Tech Ltd.,500,30,10,,3,Electronics,2023-04-18,2023-05-18
"
Google Pixel 6 Smartphone",25,7,2,November,Mobile Innovations,800,15,5,,5,Electronics,2023-04-20,2023-05-20
"
Herschel Supply Co. Nova Backpack",150,10,7,September,Outdoor Gear Inc.,100,80,20,Dhanteras,7,Accessories,2023-04-15,2023-05-15
"
JBL Flip 5 Waterproof Bluetooth Speaker",75,5,5,July,Sound Solutions,100,30,10,,3,Electronics,2023-04-18,2023-05-18
"
Lululemon Align Leggings",300,10,12,March,Activewear Emporium,80,100,30,,5,Apparel,2023-04-20,2023-05-20
"
Sony Bravia 65"" 4K Smart TV",15,7,2,July,ElectroTech Inc.,1200,10,5,NewYearPeriod,5,Electronics,2023-04-15,2023-05-15
"
Nike Air Max 90 Sneakers",50,3,5,September,Footwear World,100,20,10,Ganesh Chaturthi,3,Footwear,2023-04-18,2023-05-18
"
Samsung Galaxy S21 Ultra",30,5,3,November,Mobile Mart,1100,15,5,Diwali,7,Electronics,2023-04-20,2023-05-20
"
Apple MacBook Pro 16""",10,7,1,December,Apple Store,2000,5,3,Christmas,5,Electronics,2023-04-15,2023-05-15
"
Adidas Ultraboost Running Shoes",40,5,4,June,Sports Zone,150,10,5,,7,Footwear,2023-04-18,2023-05-18
"
LG 55"" OLED 4K TV",20,7,2,August,Electronics Plus,1800,10,5,GudiPadwa,5,Electronics,2023-04-20,2023-05-20
"
Dell XPS 15 Laptop",15,5,2,July,PC World,1800,10,5,Raksha Bandhan,3,Electronics,2023-04-15,2023-05-15
"
Canon EOS R5 Mirrorless Camera",8,10,1,October,Camera Corner,3500,5,3,Ganesh Chaturthi,7,Electronics,2023-04-18,2023-05-18
"
Nike Air Jordan 1 Retro High OG",25,3,3,May,Sneaker World,200,10,5,,5,Footwear,2023-04-20,2023-05-20
"
Bose SoundLink Revolve+ Bluetooth Speaker",35,4,4,December,Sound Solutions,250,10,5,Christmas LastDay,7,Electronics,2023-04-15,2023-05-15
"
GoPro HERO10 Black",20,5,3,September,Action Cam Store,400,10,5,,5,Electronics,2023-04-18,2023-05-18
"
Patagonia Men's Nano Puff Jacket",50,7,3,November,Outdoor Gear Inc.,180,15,5,,7,Apparel,2023-04-20,2023-05-20
"
Fitbit Versa 3 Smartwatch",30,4,4,July,Fitness Solutions,300,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Microsoft Surface Pro 7",12,7,1,June,Microsoft Store,1200,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Samsung QLED Q90T 75"" 4K TV",8,7,1,October,ElectroTech Inc.,2500,5,3,Diwali,5,Electronics,2023-04-15,2023-05-15
"
Adidas Stan Smith Sneakers",40,3,4,May,Footwear World,80,10,5,,7,Footwear,2023-04-18,2023-05-18
"
Apple iPad Air (2023)",25,5,3,September,Apple Store,900,15,5,Ganesh Chaturthi,7,Electronics,2023-04-20,2023-05-20
"
Sony WH-1000XM4 Wireless Headphones",35,4,4,December,Sound Solutions,350,10,5,Christmas LastDay,7,Electronics,2023-04-15,2023-05-15
"
DJI Mavic Air 2S Drone",15,7,1,June,Camera Corner,1200,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Nike Air Force 1 Low Sneakers",30,5,2,July,Sneaker World,120,10,5,,3,Footwear,2023-04-15,2023-05-15
"
Sony PlayStation 5",10,10,1,October,GameStop,500,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Columbia Men's Watertight II Rain Jacket",50,7,3,November,Outdoor Gear Inc.,100,15,5,,7,Apparel,2023-04-20,2023-05-20
"
Bose QuietComfort 35 II Wireless Headphones",40,4,4,December,Sound Solutions,300,10,5,Christmas LastDay,7,Electronics,2023-04-15,2023-05-15
"
Garmin Fenix 6X Pro Solar Smartwatch",20,5,3,September,Fitness Solutions,700,10,5,Ganesh Chaturthi,5,Electronics,2023-04-18,2023-05-18
"
Patagonia Women's Nano Puff Jacket",35,7,3,November,Outdoor Gear Inc.,180,15,5,,7,Apparel,2023-04-20,2023-05-20
"
Apple Watch Series 8",30,4,4,July,Apple Store,600,10,5,,3,Electronics,2023-04-15,2023-05-15
"
GoPro HERO9 Black",12,7,1,June,Action Cam Store,350,5,3,,5,Electronics,2023-04-18,2023-05-18
"
The North Face Men's Resolve 2 Jacket",20,10,2,August,Outdoor Adventures,120,10,5,GudiPadwa,7,Apparel,2023-04-15,2023-05-15
"
Samsung Galaxy Tab S7",25,5,3,September,ElectroTech Inc.,700,15,5,Diwali,7,Electronics,2023-04-20,2023-05-20
"
Adidas UltraBOOST 21 Running Shoes",40,3,4,May,Footwear World,180,10,5,,5,Footwear,2023-04-15,2023-05-15
"
Apple iPhone 14 Pro",30,5,3,November,Apple Store,1200,15,5,Ganesh Chaturthi,3,Electronics,2023-04-18,2023-05-18
"
Nike Air Max 97 Sneakers",30,5,2,July,Sneaker World,160,10,5,,7,Footwear,2023-04-18,2023-05-18
"
Columbia Women's Arcadia II Rain Jacket",50,7,3,November,Outdoor Gear Inc.,80,15,5,,7,Apparel,2023-04-15,2023-05-15
"
Patagonia Men's Down Sweater",35,7,3,November,Outdoor Gear Inc.,200,15,5,,5,Apparel,2023-04-15,2023-04-17
"
The North Face Women's Resolve 2 Jacket",20,10,2,August,Outdoor Adventures,100,10,5,Holi_Day,5,Apparel,2023-04-15,2023-05-15
"
Samsung Galaxy Watch 4",20,5,2,July,ElectroTech Inc.,300,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Nike Air Zoom Pegasus 38 Running Shoes",35,3,4,May,Footwear World,120,10,5,Independence Day,7,Footwear,2023-04-18,2023-05-18
"
DJI Mavic Mini 2 Drone",15,7,1,June,Camera Corner,500,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Adidas NMD R1 Sneakers",30,5,2,July,Sneaker World,130,10,5,,3,Footwear,2023-04-15,2023-05-15
"
Columbia Men's Steens Mountain 2.0 Fleece",50,7,3,November,Outdoor Gear Inc.,60,15,5,Republic Day,7,Apparel,2023-04-20,2023-05-20
"
Bose SoundSport Free Wireless Earbuds",40,4,4,December,Sound Solutions,200,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Garmin Venu 2S Smartwatch",20,5,3,September,Fitness Solutions,400,10,5,Dushhera,7,Electronics,2023-04-20,2023-05-20
"
Patagonia Women's Better Sweater",35,7,3,November,Outdoor Gear Inc.,150,15,5,,5,Apparel,2023-04-15,2023-05-15
"
Apple AirTag",30,4,4,July,Apple Store,30,10,5,,7,Electronics,2023-04-18,2023-05-18
"
GoPro HERO8 Black",12,7,1,June,Action Cam Store,300,5,3,Ganesh Chaturthi,5,Electronics,2023-04-20,2023-05-20
"
The North Face Men's Resolve Jacket",20,10,2,August,Outdoor Adventures,90,10,5,,3,Apparel,2023-04-15,2023-05-15
"
Fitbit Inspire 2 Fitness Tracker",15,5,2,July,Fitness Solutions,100,10,5,Christmas LastDay,7,Electronics,2023-04-20,2023-04-22
"
Samsung Galaxy Buds Pro",25,5,3,September,ElectroTech Inc.,180,15,5,GudiPadwa,7,Electronics,2023-04-20,2023-04-21
"
DJI Phantom 4 Pro Drone",15,7,1,June,Camera Corner,1500,5,3,,5,Electronics,2023-04-15,2023-05-15
"
Adidas Superstar Sneakers",30,5,2,July,Sneaker World,100,10,5,,3,Footwear,2023-04-18,2023-05-18
"
Columbia Women's Benton Springs Fleece",50,7,3,November,Outdoor Gear Inc.,50,15,5,Independence Day,7,Apparel,2023-04-15,2023-05-15
"
Garmin Forerunner 945 Smartwatch",20,5,3,September,Fitness Solutions,550,10,5,Ganesh Chaturthi,7,Electronics,2023-04-20,2023-05-20
"
Patagonia Men's Better Sweater",35,7,3,November,Outdoor Gear Inc.,150,15,5,,5,Apparel,2023-04-15,2023-05-15
"
Apple HomePod Mini",30,4,4,July,Apple Store,100,10,5,,7,Electronics,2023-04-18,2023-05-18
"
The North Face Women's Osito Fleece Jacket",20,10,2,August,Outdoor Adventures,120,10,5,,3,Apparel,2023-04-15,2023-05-15
"
Apple AirPods Max",20,5,2,July,Apple Store,550,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Nike Air Force 1 Sneakers",35,3,4,May,Footwear World,100,10,5,Diwali,7,Footwear,2023-04-18,2023-05-18
"
Sony BRAVIA OLED TV",30,5,3,November,ElectroTech Inc.,1800,15,5,Holi_Day,5,Electronics,2023-04-20,2023-05-20
"
Bose SoundLink Around-Ear Wireless Headphones II",35,4,4,December,Sound Solutions,250,10,5,GudiPadwa,7,Electronics,2023-04-15,2023-04-16
"
DJI Ronin-S Gimbal Stabilizer",15,7,1,June,Camera Corner,750,5,3,,5,Electronics,2023-04-18,2023-04-20
"
Columbia Men's Glennaker Lake Rain Jacket",50,7,3,November,Outdoor Gear Inc.,50,15,5,,7,Apparel,2023-04-15,2023-05-15
"
Garmin Instinct Solar Smartwatch",20,5,3,September,Fitness Solutions,400,10,5,Christmas LastDay,7,Electronics,2023-04-20,2023-05-20
"
Patagonia Women's Los Gatos Fleece Jacket",35,7,3,November,Outdoor Gear Inc.,120,15,5,Ganesh Chaturthi,5,Apparel,2023-04-15,2023-05-15
"
Apple iPad Air",30,4,4,July,Apple Store,600,10,5,,7,Electronics,2023-04-18,2023-05-18
"
GoPro MAX",12,7,1,June,Action Cam Store,450,5,3,,5,Electronics,2023-04-20,2023-05-20
"
The North Face Men's Gordon Lyons Quarter Zip",20,10,2,August,Outdoor Adventures,80,10,5,,3,Apparel,2023-04-15,2023-05-15
"
Nike Epic React Flyknit Running Shoes",30,5,3,September,Footwear World,130,10,5,Republic Day,3,Footwear,2023-04-20,2023-05-20
"
LG C1 OLED 4K TV",25,5,3,September,ElectroTech Inc.,2000,15,5,Holi_Day,5,Electronics,2023-04-15,2023-05-15
"
JBL Flip 5 Bluetooth Speaker",40,4,4,December,Sound Solutions,100,10,5,,3,Electronics,2023-04-18,2023-05-18
"
Nikon D850 DSLR Camera",15,7,1,June,Camera Corner,2800,5,3,GudiPadwa,5,Electronics,2023-04-20,2023-05-20
"
Vans Old Skool Sneakers",30,5,2,July,Sneaker World,70,10,5,,7,Footwear,2023-04-15,2023-05-15
"
Xbox Series X",10,10,1,October,GameStop,600,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Fitbit Charge 4 Fitness Tracker",20,5,3,September,Fitness Solutions,120,10,5,Christmas LastDay,5,Electronics,2023-04-18,2023-05-18
"
Apple Watch Series 7",30,4,4,July,Apple Store,400,10,5,,3,Electronics,2023-04-15,2023-05-15
"
GoPro Hero9 Black",12,7,1,June,Action Cam Store,400,5,3,Ganesh Chaturthi,5,Electronics,2023-04-18,2023-04-19
"
Adidas Essentials 3-Stripes Hoodie",40,5,3,September,Footwear World,50,10,5,,3,Apparel,2023-04-20,2023-05-20
"
Jabra Elite 85t True Wireless Earbuds",30,4,4,December,Sound Solutions,200,10,5,,7,Electronics,2023-04-18,2023-05-18
"
Canon EOS 90D DSLR Camera",15,7,1,June,Camera Corner,1300,5,3,Holi_Day,5,Electronics,2023-04-20,2023-05-20
"
New Balance Fresh Foam 1080v11 Running Shoes",30,5,2,July,Sneaker World,140,10,5,Independence Day,3,Footwear,2023-04-15,2023-05-15
"
Microsoft Surface Pro 8",10,10,1,October,ElectroTech Inc.,1300,5,3,,5,Electronics,2023-04-18,2023-05-18
"
The North Face Women's Osito 2 Jacket",50,7,3,November,Outdoor Gear Inc.,100,15,5,,7,Apparel,2023-04-20,2023-05-20
"
Audio-Technica ATH-M50x Headphones",40,4,4,December,Sound Solutions,150,10,5,Dushhera,3,Electronics,2023-04-15,2023-05-15
"
Columbia Women's Benton Springs Fleece Jacket",35,7,3,November,Outdoor Gear Inc.,60,15,5,,5,Apparel,2023-04-20,2023-05-20
"
Apple MacBook Pro 14""",30,4,4,July,Apple Store,2000,10,5,MerryChristmas,3,Electronics,2023-04-15,2023-05-15
"
Sony Alpha a7 III Mirrorless Camera",12,7,1,June,Camera Corner,1800,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Adidas Originals Superstar Sneakers",30,5,3,September,Footwear World,80,10,5,Holi_Day,3,Footwear,2023-04-20,2023-05-20
"
HP Spectre x360 Laptop",25,5,3,September,ElectroTech Inc.,1600,15,5,,5,Electronics,2023-04-15,2023-04-17
"
Bose Home Speaker 500",40,4,4,December,Sound Solutions,300,10,5,,7,Electronics,2023-04-18,2023-05-18
"
Fujifilm X-T4 Mirrorless Camera",15,7,1,June,Camera Corner,1700,5,3,Republic Day,5,Electronics,2023-04-20,2023-05-20
"
Puma Suede Classic Sneakers",30,5,2,July,Sneaker World,60,10,5,,3,Footwear,2023-04-15,2023-05-15
"
Lenovo ThinkPad X1 Carbon",10,10,1,October,ElectroTech Inc.,1800,5,3,,7,Electronics,2023-04-18,2023-05-18
"
Patagonia Men's Better Sweater Jacket",50,7,3,November,Outdoor Gear Inc.,120,15,5,,5,Apparel,2023-04-20,2023-05-20
"
JBL Charge 5 Bluetooth Speaker",40,4,4,December,Sound Solutions,150,10,5,Dhanteras,3,Electronics,2023-04-15,2023-05-15
"
Garmin Forerunner 245 Music",20,5,3,September,Fitness Solutions,300,10,5,,7,Electronics,2023-04-18,2023-05-18
"
The North Face Men's Apex Bionic 2 Jacket",35,7,3,November,Outdoor Gear Inc.,130,15,5,,5,Apparel,2023-04-20,2023-05-20
"
Sony WF-1000XM4 True Wireless Earbuds",40,4,4,December,Sound Solutions,350,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Columbia Men's Steens Mountain Fleece Vest",35,7,3,November,Outdoor Gear Inc.,40,15,5,NewYearPeriod,5,Apparel,2023-04-20,2023-05-20
"
Sony WH-1000XM4 Noise-Canceling Headphones",25,7,2,August,Sound Solutions,350,5,3,,7,Electronics,2023-04-18,2023-05-18
"
Converse Chuck Taylor All Star High-Top Sneakers",30,5,2,July,Sneaker World,70,10,5,GudiPadwa,3,Footwear,2023-04-15,2023-05-15
"
HP Envy 13 Laptop",10,10,1,October,ElectroTech Inc.,1400,5,3,,7,Electronics,2023-04-18,2023-05-18
"
JBL Flip 5 Portable Bluetooth Speaker",40,4,4,December,Sound Solutions,100,10,5,Independence Day,3,Electronics,2023-04-15,2023-05-15
"
Garmin Fenix 6 Pro",20,5,3,September,Fitness Solutions,600,10,5,Dushhera,7,Electronics,2023-04-18,2023-05-18
"
Adidas Ultraboost 21 Running Shoes",40,5,3,September,Footwear World,180,10,5,NewYearPeriod,3,Footwear,2023-04-20,2023-05-20
"
Sonos One (Gen 2) Smart Speaker",30,4,4,December,Sound Solutions,200,10,5,GudiPadwa,3,Electronics,2023-04-18,2023-05-18
"
Canon EOS R6 Mirrorless Camera",15,7,1,June,Camera Corner,2500,5,3,,5,Electronics,2023-04-20,2023-05-20
"
Nike Air Max 270 Sneakers",30,5,2,July,Sneaker World,120,10,5,,3,Footwear,2023-04-15,2023-05-15
"
Arc'teryx Atom LT Hooded Jacket",50,7,3,November,Outdoor Gear Inc.,220,15,5,,5,Apparel,2023-04-20,2023-05-20
"
Sony A7 III Mirrorless Camera",20,5,3,September,Camera Corner,2000,10,5,Independence Day,7,Electronics,2023-04-18,2023-05-18
"
Patagonia Men's Torrentshell 3L Jacket",35,7,3,November,Outdoor Gear Inc.,150,15,5,Holi_Day,5,Apparel,2023-04-20,2023-05-20
"
Apple MacBook Pro",25,7,2,August,ElectroTech Inc.,2500,5,3,,7,Electronics,2023-04-18,2023-05-18
"
Nike Zoom Pegasus 38 Running Shoes",40,5,3,September,Footwear World,150,10,5,Christmas LastDay,3,Footwear,2023-04-20,2023-05-20
"
Samsung QLED Q90T Smart TV",20,5,3,September,ElectroTech Inc.,2000,15,5,,5,Electronics,2023-04-15,2023-05-15
"
Nikon Z7 II Mirrorless Camera",15,7,1,June,Camera Corner,3500,5,3,GudiPadwa,5,Electronics,2023-04-20,2023-05-20
"
The North Face Men's Venture 2 Jacket",50,7,3,November,Outdoor Gear Inc.,110,15,5,,5,Apparel,2023-04-20,2023-05-20
"
JBL Pulse 4 Portable Bluetooth Speaker",40,4,4,December,Sound Solutions,200,10,5,MerryChristmas,3,Electronics,2023-04-15,2023-05-15
"
Sony RX100 VII Compact Camera",20,5,3,September,Camera Corner,1200,10,5,,7,Electronics,2023-04-18,2023-05-18
"
Bose Frames Audio Sunglasses",40,4,4,December,Sound Solutions,250,10,5,NewYearPeriod,3,Electronics,2023-04-15,2023-05-15
"
Patagonia Men's Better Sweater Fleece Jacket",35,7,3,November,Outdoor Gear Inc.,120,15,5,,5,Apparel,2023-04-20,2023-05-20
"
Under Armour HOVR Infinite Running Shoes",40,5,3,September,Footwear World,120,10,5,GudiPadwa,3,Footwear,2023-04-20,2023-05-20
"
LG OLED CX Series 4K Smart TV",20,5,3,September,ElectroTech Inc.,2500,15,5,,5,Electronics,2023-04-15,2023-05-15
"
Puma RS-X Sneakers",30,5,2,July,Sneaker World,90,10,5,Republic Day,3,Footwear,2023-04-15,2023-05-15
"
Lenovo ThinkPad X1 Carbon Laptop",10,10,1,October,ElectroTech Inc.,2000,5,3,,7,Electronics,2023-04-18,2023-05-18
"
Columbia Men's Watertight II Jacket",50,7,3,November,Outdoor Gear Inc.,100,15,5,Christmas LastDay,5,Apparel,2023-04-20,2023-05-20
"
Canon EOS M50 Mark II Mirrorless Camera",20,5,3,September,Camera Corner,800,10,5,,7,Electronics,2023-04-18,2023-05-18
"
Reebok Classic Leather Sneakers",35,7,3,November,Footwear World,80,15,5,MerryChristmas,5,Footwear,2023-04-20,2023-05-20
"
JBL Charge 4 Portable Bluetooth Speaker",40,4,4,December,Sound Solutions,150,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Garmin Fenix 6 Pro Smartwatch",20,5,3,September,Fitness Solutions,650,10,5,,7,Electronics,2023-04-18,2023-05-18
"
Adidas Ultraboost DNA Running Shoes",40,5,3,September,Footwear World,180,10,5,NewYearPeriod,3,Footwear,2023-04-20,2023-05-20
"
Sony BRAVIA X900H 4K Smart TV",20,5,3,September,ElectroTech Inc.,1500,15,5,,5,Electronics,2023-04-15,2023-05-15
"
Sonos Move Portable Smart Speaker",30,4,4,December,Sound Solutions,400,10,5,Dushhera,3,Electronics,2023-04-18,2023-05-18
"
Bose SoundLink Micro Bluetooth Speaker",40,4,4,December,Sound Solutions,100,10,5,Independence Day,3,Electronics,2023-04-15,2023-05-15
"
ASICS Gel-Kayano 28 Running Shoes",35,7,3,November,Footwear World,160,15,5,,5,Footwear,2023-04-20,2023-05-20
"
UE BOOM 3 Portable Bluetooth Speaker",40,4,4,December,Sound Solutions,200,10,5,GudiPadwa,3,Electronics,2023-04-15,2023-05-15
"
Sony BRAVIA A8H OLED 4K Smart TV",20,5,3,September,ElectroTech Inc.,3000,15,5,NewYearPeriod,5,Electronics,2023-04-15,2023-05-15
"
Salomon Speedcross 5 Trail Running Shoes",30,5,2,July,Sneaker World,120,10,5,Independence Day,3,Footwear,2023-04-15,2023-05-15
"
Microsoft Surface Laptop 4",10,10,1,October,ElectroTech Inc.,1500,5,3,,7,Electronics,2023-04-18,2023-05-18
"
Arc'teryx Beta AR Jacket",50,7,3,November,Outdoor Gear Inc.,500,15,5,,5,Apparel,2023-04-20,2023-04-23
"
Brooks Ghost 14 Running Shoes",35,7,3,November,Footwear World,130,15,5,MerryChristmas,5,Footwear,2023-04-20,2023-05-20
"
JBL Boombox 2 Portable Bluetooth Speaker",40,4,4,December,Sound Solutions,400,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Hoka One One Bondi 7 Running Shoes",30,5,2,July,Sneaker World,160,10,5,,3,Footwear,2023-04-15,2023-05-15
"
Columbia Men's Steens Mountain 2.0 Jacket",50,7,3,November,Outdoor Gear Inc.,70,15,5,,5,Apparel,2023-04-20,2023-05-20
"
JBL Charge 5 Portable Bluetooth Speaker",40,4,4,December,Sound Solutions,180,10,5,GudiPadwa,3,Electronics,2023-04-15,2023-05-15
"
Under Armour HOVR Phantom 2 Running Shoes",35,7,3,November,Footwear World,140,15,5,,5,Footwear,2023-04-20,2023-05-20
"
Garmin Fenix 6 Pro Solar Edition Smartwatch",20,5,3,September,Fitness Solutions,600,10,5,,7,Electronics,2023-04-18,2023-05-18
"
Nike Air Max 270 Shoes",40,5,3,September,Footwear World,120,10,5,NewYearPeriod,3,Footwear,2023-04-20,2023-05-20
"
Dell XPS 13 Laptop",20,5,3,September,ElectroTech Inc.,1500,15,5,Holi_Day,5,Electronics,2023-04-15,2023-05-15
"
Canon PowerShot G7 X Mark III Camera",15,7,1,June,Camera Corner,700,5,3,,5,Electronics,2023-04-20,2023-05-20
"
Arc'teryx Cerium LT Hooded Down Jacket",50,7,3,November,Outdoor Gear Inc.,450,15,5,,5,Apparel,2023-04-20,2023-05-20
"
Sony WH-1000XM4 Wireless Noise-Canceling Headphones",40,4,4,December,Sound Solutions,350,10,5,,3,Electronics,2023-04-15,2023-05-15
